,price,model,year,title_status,mileage,state,condition_1,brand_chevrolet,brand_dodge,brand_ford,brand_nissan,brand_other,color_black,color_blue,color_gray,color_other,color_red,color_silver,color_white
233,1700,32,2014,0,112789.0,6,120.0,0,0,1,0,0,0,0,0,0,0,0,1
234,6200,32,2011,0,80394.0,36,1260.0,0,0,0,0,1,0,0,1,0,0,0,0
235,3650,32,2016,0,68142.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
236,10500,32,2014,0,74203.0,1,1440.0,0,1,0,0,0,0,0,0,0,0,0,1
237,43500,1,2018,0,57604.0,7,8640.0,1,0,0,0,0,0,0,0,0,0,0,1
238,4610,117,2016,0,87229.0,36,2880.0,0,1,0,0,0,0,0,0,0,0,1,0
239,3450,32,2012,0,90711.0,6,1440.0,0,0,1,0,0,0,0,0,0,0,0,1
240,38500,105,2018,0,11135.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,1,0
241,6810,75,2016,0,66781.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,1,0
242,2900,13,2011,0,190994.0,6,120.0,0,0,1,0,0,0,0,0,0,0,0,1
243,43500,1,2018,0,56007.0,7,8640.0,1,0,0,0,0,0,0,0,0,0,0,1
244,4450,75,2016,0,32486.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
245,5800,32,2011,0,195908.0,6,120.0,0,0,1,0,0,0,0,0,0,0,0,1
246,16500,45,2018,0,18020.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,1,0
247,4240,75,2016,0,83262.0,36,2880.0,0,1,0,0,0,0,0,0,0,0,0,1
248,26500,84,2008,0,62015.0,32,1440.0,0,0,1,0,0,0,0,0,0,0,0,1
249,13700,45,2017,0,36421.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,1,0
250,8600,32,2016,0,73321.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
251,8000,16,2008,0,132379.0,6,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
252,14200,45,2017,0,28013.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,1,0
253,7040,75,2016,0,33291.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,1,0
254,4700,16,2005,0,225236.0,6,120.0,0,0,1,0,0,0,0,0,1,0,0,0
255,30851,32,2016,0,43176.0,7,2880.0,1,0,0,0,0,0,0,0,0,1,0,0
256,4880,75,2016,0,36876.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,1,0
257,14500,84,2006,0,111782.0,32,4320.0,0,1,0,0,0,0,0,0,0,0,1,0
258,7600,32,2017,0,110489.0,21,300.0,1,0,0,0,0,0,0,0,1,0,0,0
259,13270,32,2016,0,84035.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
260,12800,32,2012,0,131101.0,1,1200.0,0,0,1,0,0,0,0,1,0,0,0,0
261,33000,0,2018,0,52521.0,30,14400.0,1,0,0,0,0,0,0,0,0,0,0,1
262,9280,32,2016,0,101380.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
263,900,117,2003,0,142027.0,6,120.0,0,0,1,0,0,0,0,0,0,0,0,1
264,7560,32,2016,0,111476.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
265,19500,35,2011,0,76897.0,32,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
266,17100,71,2019,0,15780.0,40,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
267,8020,32,2016,0,31944.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
268,10300,53,2019,0,18937.0,19,5760.0,0,0,1,0,0,1,0,0,0,0,0,0
269,22600,117,2019,0,9706.0,40,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
270,10480,33,2016,0,57289.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
271,10300,53,2019,0,19956.0,19,5760.0,0,0,1,0,0,0,0,0,0,0,1,0
272,22700,117,2019,0,6075.0,40,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
273,7410,32,2016,0,21034.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
274,10300,53,2019,0,22881.0,19,5760.0,0,0,1,0,0,0,0,1,0,0,0,0
275,10300,32,2013,0,167600.0,40,2880.0,1,0,0,0,0,0,0,1,0,0,0,0
276,7570,32,2016,0,37252.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
277,67000,14,2019,0,10944.0,28,1260.0,0,1,0,0,0,0,1,0,0,0,0,0
278,18900,64,2019,0,27601.0,36,1260.0,1,0,0,0,0,0,0,0,0,0,0,1
279,12560,33,2019,0,15958.0,6,1080.0,0,0,1,0,0,0,0,0,0,0,0,1
280,33000,36,2019,0,32251.0,28,1260.0,0,1,0,0,0,0,0,0,0,0,0,1
281,18300,64,2019,0,25809.0,36,1260.0,1,0,0,0,0,1,0,0,0,0,0,0
282,11760,10,2017,0,30553.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
283,31700,36,2019,0,26549.0,28,1260.0,0,1,0,0,0,0,0,0,0,1,0,0
